job_link,last_processed_time,got_summary,got_ner,is_being_worked,job_title,company,job_location,first_seen,search_city,search_country,search_position,job_level,job_type
https://www.linkedin.com/jobs/view/triage-rn-michigan-heart-aa-office-at-trinity-health-3705247651,2024-01-19 14:39:50.208885+00:00,t,t,f,Triage RN- Michigan Heart AA office,Trinity Health,"Ypsilanti, MI",2024-01-15 00:00:00+00:00,Monroe,United States,Cardiologist,Mid senior,Onsite
https://www.linkedin.com/jobs/view/finance-manager-at-aston-carter-3800151766,2024-01-19 14:39:50.288894+00:00,t,t,f,Finance Manager,Aston Carter,"Southlake, TX",2024-01-17 00:00:00+00:00,Corinth,United States,Supervisor Line Department,Mid senior,Onsite
https://www.linkedin.com/jobs/view/ultrasound-technologist-registered-at-opelousas-general-health-system-3750027666,2024-01-19 14:39:50.450851+00:00,t,t,f,Ultrasound Technologist- Registered,Opelousas General Health System,"Opelousas, LA",2024-01-14 00:00:00+00:00,Lafayette,United States,Manager Employment,Mid senior,Onsite
https://www.linkedin.com/jobs/view/licensed-clinical-psychologist-outpatient-woodburn-or-at-lifestance-health-3802015036,2024-01-19 14:39:51.418106+00:00,t,t,f,"Licensed Clinical Psychologist - Outpatient - Woodburn, OR",LifeStance Health,"Woodburn, OR",2024-01-15 00:00:00+00:00,Beaverton,United States,Clinical Psychologist,Mid senior,Onsite
https://www.linkedin.com/jobs/view/department-manager-up-to-%2437-000-yr-at-mcdonald-s-3787723047,2024-01-19 14:39:52.158156+00:00,t,t,f,"Department Manager up to $37,000/yr",McDonald's,"Anderson, SC",2024-01-14 00:00:00+00:00,Anderson,United States,Manager Department,Mid senior,Onsite
https://www.linkedin.com/jobs/view/sr-hardware-simulation-platform-engineer-chassis-controls-powertrain-at-tesla-3737832096,2024-01-19 09:45:09.215838+00:00,f,f,f,"Sr. Hardware Simulation Platform Engineer, Chassis Controls & Powertrain",Tesla,"Palo Alto, CA",2024-01-16 00:00:00+00:00,Alameda,United States,Processor,Mid senior,Onsite
https://www.linkedin.com/jobs/view/litigation-attorney-at-jobot-3806136981,2024-01-19 09:45:09.215838+00:00,f,f,f,Litigation Attorney,Jobot,"Mount Dora, FL",2024-01-17 00:00:00+00:00,Grand Island,United States,Tax Attorney,Mid senior,Onsite
https://www.linkedin.com/jobs/view/development-services-technician-at-county-of-san-joaquin-3769465536,2024-01-19 14:39:08.158402+00:00,t,t,f,Development Services Technician,County of San Joaquin,"Stockton, CA",2024-01-14 00:00:00+00:00,Lawton,United States,Reproduction Technician,Associate,Onsite
https://www.linkedin.com/jobs/view/employment-attorney-with-relevant-experience-at-bcg-attorney-search-3645762689,2024-01-19 14:39:08.232594+00:00,t,t,f,Employment Attorney with relevant experience,BCG Attorney Search,"Flagstaff, AZ",2024-01-16 00:00:00+00:00,Arizona,United States,Lawyer Criminal,Mid senior,Onsite
https://www.linkedin.com/jobs/view/designer-i-at-us-tech-solutions-3806342219,2024-01-19 14:39:05.553528+00:00,t,t,f,Designer I,US Tech Solutions,"Miami, FL",2024-01-17 00:00:00+00:00,Coral Gables,United States,Tattoo Artist,Mid senior,Onsite
